image_x image_y distances
000093.jpg 004668.jpg 0.5323769596116068
000093.jpg 036881.jpg 0.5212384920643371
000093.jpg 044328.jpg 0.551219356743408
000093.jpg 046126.jpg 0.5174630940303317
000093.jpg 046415.jpg 0.5862075374041097
000093.jpg 060164.jpg 0.43306570744826545
000093.jpg 062217.jpg 0.4786447977422609
000093.jpg 064548.jpg 0.5022950615184191
000093.jpg 069081.jpg 0.47654836437627585
000093.jpg 081426.jpg 0.5308408034759564
000093.jpg 086633.jpg 0.5607630960353799
000093.jpg 093743.jpg 0.6058702690256489
000093.jpg 099844.jpg 0.6803093145130852
000093.jpg 107892.jpg 0.5655823757415728
000093.jpg 108803.jpg 0.5242788856718382
000093.jpg 122639.jpg 0.5320428806016828
000093.jpg 124477.jpg 0.7526242624586126
000093.jpg 128499.jpg 0.6115628510963019
000093.jpg 130384.jpg 0.4503403449133438
000093.jpg 136107.jpg 0.5440279707679226
000093.jpg 137225.jpg 0.378946753337874
000093.jpg 137773.jpg 0.5835197943789029
000093.jpg 142985.jpg 0.3408157452220106
000093.jpg 143974.jpg 0.48798192755955067
000093.jpg 151994.jpg 0.5825230622054106
000093.jpg 154423.jpg 0.6193360029139713
000093.jpg 159503.jpg 0.5089927292815264
000093.jpg 159612.jpg 0.5239252499351807
000093.jpg 161754.jpg 0.51371782071235
000114.jpg 000825.jpg 0.3096021907943437
000114.jpg 009399.jpg 0.47991288764512013
000114.jpg 011760.jpg 0.4957511493746711
000114.jpg 012577.jpg 0.4022363342871504
000114.jpg 022967.jpg 0.4801663020563993
000114.jpg 023155.jpg 0.4984363921891193
000114.jpg 033367.jpg 0.41021675943723807
000114.jpg 035299.jpg 0.4125223307589121
000114.jpg 038317.jpg 0.6029334137061289
000114.jpg 054382.jpg 0.4120754219578562
000114.jpg 061983.jpg 0.4442817472007762
000114.jpg 072895.jpg 0.3804435284215488
000114.jpg 089654.jpg 0.45648914914559235
000114.jpg 090091.jpg 0.40325015882019194
000114.jpg 092140.jpg 0.41976441871235226
000114.jpg 095972.jpg 0.46277060906650763
000114.jpg 097096.jpg 0.41339313798682814
000114.jpg 106860.jpg 0.5354837325257675
000114.jpg 107555.jpg 0.377754036017582
000114.jpg 115937.jpg 0.39291663697325746
000114.jpg 116482.jpg 0.45101054031534593
000114.jpg 118439.jpg 0.46612283529500814
000114.jpg 119408.jpg 0.3978523006762408
000114.jpg 131714.jpg 0.28818982421851386
000114.jpg 132326.jpg 0.33717602590685736
000114.jpg 134242.jpg 0.39909208396058243
000114.jpg 136128.jpg 0.3946773875385385
000114.jpg 142759.jpg 0.4279425571416993
000114.jpg 158958.jpg 0.4673247658989521
000131.jpg 006383.jpg 0.533342093780155
000131.jpg 008575.jpg 0.4340641651305642
000131.jpg 009865.jpg 0.4539435210799221
000131.jpg 010582.jpg 0.5002000690882422
000131.jpg 010594.jpg 0.5112196732525014
000131.jpg 017430.jpg 0.46070648503598477
000131.jpg 019686.jpg 0.5262199567038819
000131.jpg 021862.jpg 0.4270873197212724
000131.jpg 029772.jpg 0.4552338114762565
000131.jpg 030396.jpg 0.4998363314814771
000131.jpg 041086.jpg 0.491636297733053
000131.jpg 043004.jpg 0.5118302973485572
000131.jpg 065194.jpg 0.488001272395817
000131.jpg 066968.jpg 0.45066843502013465
000131.jpg 072328.jpg 0.48508938584039946
000131.jpg 072850.jpg 0.39474543347035035
000131.jpg 082593.jpg 0.5131257756863509
000131.jpg 104914.jpg 0.5338102896134123
000131.jpg 108819.jpg 0.5709457267454895
000131.jpg 109653.jpg 0.44009861688599244
000131.jpg 111854.jpg 0.5770288554033517
000131.jpg 113697.jpg 0.58653589247151
000131.jpg 114878.jpg 0.44398887060146
000131.jpg 122317.jpg 0.424688410817068
000131.jpg 122978.jpg 0.4582833000530395
000131.jpg 151863.jpg 0.45590050045149116
000131.jpg 153541.jpg 0.3970349629072376
000131.jpg 159948.jpg 0.45610101728208596
000131.jpg 162676.jpg 0.469684901516349
000149.jpg 019844.jpg 0.5340443598048036
000149.jpg 022582.jpg 0.5510436162077852
000149.jpg 034805.jpg 0.5629755215005497
000149.jpg 047875.jpg 0.5684750706901862
000149.jpg 059167.jpg 0.7109345670940852
000149.jpg 066607.jpg 0.5463631533126614
000149.jpg 076603.jpg 0.5150560174963152
000149.jpg 082370.jpg 0.5989609943961529
000149.jpg 083129.jpg 0.5706038254569935
000149.jpg 097454.jpg 0.7198098507227896
000149.jpg 098118.jpg 0.555115165637697
000149.jpg 101623.jpg 0.5472971852743773
000149.jpg 103052.jpg 0.48573402456261133
000149.jpg 108919.jpg 0.5530144857470095
000149.jpg 110181.jpg 0.5004741568196103
000149.jpg 118262.jpg 0.8295285234102344
000149.jpg 119770.jpg 0.4691592677192803
000149.jpg 122585.jpg 0.595305683701109
000149.jpg 133163.jpg 0.5787179872770649
000149.jpg 135552.jpg 0.5439493398310423
000149.jpg 140119.jpg 0.5680097784243482
000149.jpg 145115.jpg 0.5895164757254292
000176.jpg 000280.jpg 0.4138262815664515
000176.jpg 008608.jpg 0.40277206847909375
000176.jpg 024201.jpg 0.5299004856223158
000176.jpg 025270.jpg 0.41686500581603303
000176.jpg 030189.jpg 0.44318317476240165
